Telco,negative,neutral,positive
Celcom Tune Talk,0.0,0.0,1.0
CelcomDigi,0.3023255813953488,0.4186046511627907,0.27906976744186046
Maxis,0.29411764705882354,0.38235294117647056,0.3235294117647059
TIME,0.0,0.0,1.0
TimeDotCom,0.0,0.0,1.0
TuneTalk,0.0,0.0,1.0
UMobile,0.38095238095238093,0.09523809523809523,0.5238095238095238
Unifi Mobile,0.2857142857142857,0.0,0.7142857142857143
Yes,0.4,0.4,0.2
